localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Apartamento em São Paulo,Studio Exclusivo e Moderno + AC + Piscina + Metrô,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.239,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,"Refúgio Alma Brasileira, Pinheiros/Vila Madalena","Cancelamento gratuito
Cancelamento gratuito","27 de jun. – 2 de jul.
27 de jun. – 2 de jul.",por 5 noites,R$2.020,"5,0 de uma avaliação média de 5, 12 avaliações
5,0 (12)"
Casa em Jundiaí,Suíte Completa c/ Netflix e Wifi,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.084,"4,81 de uma avaliação média de 5, 31 avaliações
4,81 (31)"
Apartamento em São Paulo,Studio aconchegante São Paulo!,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.512,"4,98 de uma avaliação média de 5, 64 avaliações
4,98 (64)"
Apartamento em São Paulo,Studio Exclusivo e Moderno + AC + Piscina + Metrô,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.239,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,5min. a pé do Allianz Parque c/ Piscina e Academia,"1 cama de casal
1 cama de casal","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$959,"4,86 de uma avaliação média de 5, 36 avaliações
4,86 (36)"
Apartamento em São Paulo,Expo C. Norte-Novo e Charmoso,"2 camas
2 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.153,"4,97 de uma avaliação média de 5, 72 avaliações
4,97 (72)"
Quarto em Guarulhos,Suíte a 12 minutos do aeroporto,,"13 – 18 de jun.
13 – 18 de jun.",por 5 noites,R$491,"4,92 de uma avaliação média de 5, 132 avaliações
4,92 (132)"
Apartamento em São Paulo,Studio Ecológico | Aeroporto CGH | Q414 - Vezinno,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$905,"5,0 de uma avaliação média de 5, 66 avaliações
5,0 (66)"
Apartamento em São Paulo,Apart. Lindo | Bairro Liberdade | Ar Condicionado,"2 camas
2 camas","24 – 29 de jun.
24 – 29 de jun.",por 5 noites,R$978,"5,0 de uma avaliação média de 5, 21 avaliações
5,0 (21)"
Apartamento em Vila Baruel,APTO 210 Pro Magno Anhembi Allianz Center Norte,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$515,"4,89 de uma avaliação média de 5, 37 avaliações
4,89 (37)"
Apartamento em São Paulo,Pinheiros Hy 807 | Vila Madalena & Jardins,"1 cama de casal
1 cama de casal","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.420,"5,0 de uma avaliação média de 5, 19 avaliações
5,0 (19)"
Apartamento em São Paulo,"Estúdio TOP + AC, piscina, terraço e metrô","1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.017,"4,87 de uma avaliação média de 5, 69 avaliações
4,87 (69)"
Apartamento em São Paulo,Studio espaçoso com conforto e estilo @Copan c/ Ar,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.450,"4,87 de uma avaliação média de 5, 173 avaliações
4,87 (173)"
Apartamento em São Paulo,M 125 Apartamento novo no Brás 200 metros do metrô,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$736,"5,0 de uma avaliação média de 5, 9 avaliações
5,0 (9)"
Casa em São Roque,Casa Don Matheus,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$2.225,"4,96 de uma avaliação média de 5, 93 avaliações
4,96 (93)"
Apartamento em São Paulo,A7| Studio 9º andar - Próx Anhembi,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.262,"4,7 de uma avaliação média de 5, 20 avaliações
4,7 (20)"
Apartamento em Guarulhos,Estúdio Premium-Próx Aeroporto Gru,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.090,"5,0 de uma avaliação média de 5, 11 avaliações
5,0 (11)"
Apartamento em São Paulo,"Refúgio Alma Brasileira, Pinheiros/Vila Madalena","Cancelamento gratuito
Cancelamento gratuito","27 de jun. – 2 de jul.
27 de jun. – 2 de jul.",por 5 noites,R$2.020,"5,0 de uma avaliação média de 5, 12 avaliações
5,0 (12)"
Apartamento em República,316_Setin Centro República,"Cancelamento gratuito
Cancelamento gratuito","25 – 30 de jun.
25 – 30 de jun.",por 5 noites,R$953,"4,84 de uma avaliação média de 5, 292 avaliações
4,84 (292)"
Apartamento em São Paulo,"SPA, Academia e Garagem a 10 min. a pé do Aero CGH","2 camas
2 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.162,"4,89 de uma avaliação média de 5, 57 avaliações
4,89 (57)"
Apartamento em São Paulo,Studio R em frente ao metrô/ garagem gratis/centro,"1 cama de casal
1 cama de casal","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$883,"4,64 de uma avaliação média de 5, 45 avaliações
4,64 (45)"
Apartamento em São Paulo,Apartamento luxo Campo Belo próximo ao aeroporto,"Cancelamento gratuito
Cancelamento gratuito","25 – 30 de jun.
25 – 30 de jun.",por 5 noites,R$1.210,"4,85 de uma avaliação média de 5, 41 avaliações
4,85 (41)"
Apartamento em São Paulo,Studio em Moema,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.712,"5,0 de uma avaliação média de 5, 39 avaliações
5,0 (39)"
Apartamento em São Paulo,"GoodVibes São Paulo. Hidro, Relax e Espaço de Trabalho","2 camas
2 camas","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.172,"4,99 de uma avaliação média de 5, 100 avaliações
4,99 (100)"
Apartamento em São Paulo,Studio Santana Exclusivo Estilo e Personalidade.,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jul.
9 – 14 de jul.",por 5 noites,R$1.180,"4,96 de uma avaliação média de 5, 114 avaliações
4,96 (114)"
Loft em São Paulo,Apartamento Centro de São Paulo,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$921,"5,0 de uma avaliação média de 5, 17 avaliações
5,0 (17)"
Apartamento em São Paulo,Studio 13º Andar Lazer Piscina vizinho metrô Belém,"1 cama de casal
1 cama de casal","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$864,"4,67 de uma avaliação média de 5, 12 avaliações
4,67 (12)"
Apartamento em São Paulo,Apê super aconchegante Pinheiros,"Cancelamento gratuito
Cancelamento gratuito","13 – 18 de jun.
13 – 18 de jun.",por 5 noites,R$2.436,"Novo lugar para ficar
Novo"
Casa em Mairiporã,Casinha Pôr do sol,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$2.257,"5,0 de uma avaliação média de 5, 24 avaliações
5,0 (24)"
"Apartamento em República, São Paulo",LOFT 1513 - Praça da República / Coração de SP,"1 cama queen
1 cama queen","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$1.290,"4,84 de uma avaliação média de 5, 268 avaliações
4,84 (268)"
Apartamento em São Paulo,Studio São Paulo Liberdade,"Cancelamento gratuito
Cancelamento gratuito","25 – 30 de jul.
25 – 30 de jul.",por 5 noites,R$1.264,"5,0 de uma avaliação média de 5, 70 avaliações
5,0 (70)"
Quarto em São Paulo,4 Quarto Bia,,"15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$395,"4,89 de uma avaliação média de 5, 9 avaliações
4,89 (9)"
Apartamento em São Paulo,Apto novo- 2 min a pé do Metrô Bresser Mooca,"1 cama
1 cama","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$622,"5,0 de uma avaliação média de 5, 5 avaliações
5,0 (5)"
Apartamento em São Paulo,Nex One Faria Lima | Pinheiros,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.348,"5,0 de uma avaliação média de 5, 7 avaliações
5,0 (7)"
Suíte de hóspedes em São Paulo,Oscar Freire-Suite-Prox à Metrô- FSP-USPClínicas,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$787,"4,97 de uma avaliação média de 5, 32 avaliações
4,97 (32)"
Loft em Centro Histórico de São Paulo,Estúdio encantador que não está olhando para SP high corn,"Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jul.
12 – 17 de jul.",por 5 noites,R$1.027,"4,93 de uma avaliação média de 5, 339 avaliações
4,93 (339)"
Casa de hóspedes em Ibiúna,Vivenda na Mata,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.797,"4,96 de uma avaliação média de 5, 54 avaliações
4,96 (54)"
Apartamento em São Paulo,Estúdio Moderno com piscina e academia próx metrô,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jul.
22 – 27 de jul.",por 5 noites,R$1.300,"4,93 de uma avaliação média de 5, 69 avaliações
4,93 (69)"
